term,term_count,doc_count,concept
adequately_timely_cover_services,3,3,services
adhd,3,2,NA
adherence_medication,3,3,NA
adherence_section,3,3,NA
adhesives,3,2,NA
adjunctive_primary_service,3,3,NA
adjust_amounts,3,3,NA
adjust_budget,3,3,NA
adjust_burden,3,3,NA
adjust_capital,3,3,NA
adjust_ccrs,3,3,NA
adjust_social,3,3,NA
adjust_standardized,3,3,NA
adjusted_base,3,3,NA
adjusted_federal,3,3,NA
adjusted_following,3,3,NA
adjusted_hourly,3,3,NA
adjusted_ltch,3,3,NA
adjusted_reduction,3,2,NA
adjusted_trimmed,3,3,NA
adjusting_work,3,3,NA
adjustment_accordance,3,2,NA
adjustment_budget_neutral,3,3,NA
adjustment_calculation,3,3,NA
adjustment_certain,3,3,NA
adjustment_composite,3,2,NA
adjustment_defined,3,3,NA
adjustment_determined,3,3,NA
adjustment_effect,3,3,NA
adjustment_effective,3,3,NA
adjustment_follows,3,2,NA
adjustment_group,3,3,NA
adjustment_ime,3,3,NA
adjustment_indirect,3,3,NA
adjustment_method,3,2,NA
adjustment_mfp,3,3,NA
adjustment_models,3,3,NA
adjustment_needed,3,3,NA
adjustment_note,3,3,NA
adjustment_overhead,3,3,NA
adjustment_policies,3,3,NA
adjustment_process,3,3,NA
adjustment_refer,3,2,NA
adjustment_reimbursement,3,2,NA
adjustment_schs,3,3,NA
adjustment_social,3,3,NA
adjustment_standardized,3,3,NA
adjustment_still,3,3,NA
adjustment_subject,3,3,NA
adjustment_triggered,3,3,NA
adjustment_variables,3,3,NA
adjustment_wage,3,3,NA
adjustment_wage_index_acute,3,3,NA
adjustments_accordingly,3,3,NA
adjustments_addition,3,3,NA
adjustments_area,3,3,NA
adjustments_beginning,3,3,NA
adjustments_claims,3,3,NA
adjustments_effective,3,3,NA
adjustments_given,3,3,NA
adjustments_one,3,3,NA
adjustments_reflect,3,3,NA
adjustments_required_sections_of,3,3,NA
adjustments_schedule,3,3,NA
adjustments_therefore,3,3,NA
adm,3,3,NA
administer_anesthesia,3,2,NA
administer_payment,3,3,NA
administered_accordance,3,3,NA
administered_funds,3,3,NA
administered_physician,3,3,service_provider
administration_enforcement,3,3,NA
administration_secretary_finds_necessary,3,2,NA
administration_staff,3,3,NA
administration’s,3,3,NA
administrative_case,3,2,NA
administrative_claiming,3,3,NA
administrative_contractor,3,2,NA
administrative_control,3,3,NA
administrative_law,3,2,NA
administrative_penalties,3,3,NA
administrator_administrative,3,3,NA
administrator_director,3,3,NA
administrator_person,3,3,person
administrator_sec,3,2,NA
administrator_therapist,3,2,NA
administrator_within,3,3,NA
admission_admission,3,3,NA
admission_also,3,3,NA
admission_authorization,3,2,NA
admission_individual,3,2,NA
admission_inpatient,3,3,services
admission_level,3,3,NA
admission_notice,3,3,NA
admission_patient,3,3,person
admission_poa,3,3,NA
admission_type,3,2,NA
admissions_case,3,3,NA
admitted_eligible_hospital_cah's,3,2,NA
admitted_home,3,3,NA
admitted_treatment,3,3,services
adolescent_functional,3,3,NA
adolescents_serious,3,2,NA
adolescents_years_of_age,3,3,NA
adolescent’s,3,3,NA
adopt_certified,3,3,NA
adopt_ehrs,3,3,NA
adopt_safe,3,2,NA
adopted_cy_opps_asc,3,2,NA
adopted_minimum,3,2,NA
adopted_part,3,3,NA
adopted_policies,3,3,NA
adopted_process,3,3,NA
adopting_cy,3,3,NA
adopting_implementing,3,2,NA
adoption_o,3,3,NA
adrenergic,3,3,NA
adt,3,2,NA
adult_core,3,3,NA
adult_designated,3,3,NA
adulterated,3,3,NA
advance_care,3,3,NA
advance_planning,3,3,NA
advance_quality,3,3,NA
advanced_diagnostic,3,3,NA
advancing_care,3,2,NA
advantage_ime,3,3,NA
advantage_managed,3,3,NA
adverse_actions,3,3,NA
advice_asc,3,3,NA
advice_gross,3,3,NA
advice_ra,3,3,NA
advisors_support,3,3,NA
ae,3,3,NA
aer,3,2,NA
aerobic,3,2,NA
afcs,3,3,NA
aff'd,3,3,NA
affect_hospice's,3,3,NA
affect_hospitals,3,3,NA
affect_ltch,3,3,NA
affect_patient's,3,3,person
affect_reporting,3,3,NA
affect_states,3,3,NA
affected_annual,3,3,NA
affected_change_wage_index,3,3,NA
affected_public,3,2,NA
afferent,3,3,NA
affiliated_group,3,2,NA
affordability_of,3,3,NA
affordable_care_act_codified,3,3,NA
afls,3,3,NA
aforementioned_information,3,3,NA
aforementioned_requirements,3,3,NA
afterwards,3,3,NA
age_beneficiary,3,3,person
age_four,3,2,NA
age_national,3,3,NA
age_of_years_subset,3,3,NA
age_range_of,3,2,NA
age_risk,3,3,NA
age_younger,3,2,NA
aged_adult,3,2,NA
aged_children,3,3,NA
agencies_appropriate,3,3,NA
agencies_ensure,3,3,NA
agencies_fewer,3,3,NA
agencies_includes,3,3,NA
agencies_providing,3,3,NA
agencies_retain,3,3,NA
agency's_patients,3,2,person
agency's_policies,3,2,NA
agency_adult,3,3,NA
agency_agency,3,3,NA
agency_aging,3,3,NA
agency_approved,3,3,NA
agency_can,3,3,NA
agency_choice,3,3,NA
agency_complies,3,3,NA
agency_delay,3,3,NA
agency_develop,3,3,NA
agency_ensure,3,3,NA
agency_entity,3,3,NA
agency_inpatient,3,2,service_provider
agency_least,3,3,NA
agency_means,3,3,NA
agency_must_meet_promulgates,3,3,NA
agency_part,3,3,NA
agency_prior,3,3,NA
agency_providers,3,3,service_provider
agency_public,3,3,NA
agency_representatives,3,3,NA
agency_review,3,3,NA
agency_rn,3,3,NA
agency_specific,3,3,NA
agency_total_estimated_cost,3,3,NA
agency_treat,3,2,NA
agent_mco,3,3,NA
agent_means,3,3,NA
agent_pass,3,3,NA
agents_diagnostic,3,3,NA
agents_proposed,3,3,NA
aggregate_pe,3,3,NA
aggregate_population,3,3,NA
aggregate_total,3,2,NA
aggregated_cy,3,3,NA
aggressively,3,3,NA
agnostic,3,3,NA
agrawal,3,3,NA
agree_comments,3,3,NA
agree_important,3,3,NA
agreeable,3,3,NA
agreement.pdf,3,3,NA
agreement_however,3,3,NA
agreement_prototype,3,3,NA
agreement_secretary,3,3,NA
agreement_self,3,3,NA
agreement_specifically,3,3,NA
agreement_version,3,3,NA
agreements_contracts,3,3,NA
aguadilla,3,3,NA
ahead,3,3,NA
ahrq_publication,3,2,NA
aicpas,3,3,NA
aide_qualifications,3,3,NA
aide_service,3,3,NA
aide_supervision,3,3,NA
aide_trainer,3,2,NA
aide_visit,3,3,NA
aide_visits,3,3,NA
ailments,3,3,NA
air_fluidized,3,3,NA
airfare,3,2,NA
airways,3,3,NA
al_association,3,2,NA
al_mh,3,3,NA
alameda,3,2,NA
alarm_fire,3,3,NA
alarm_system,3,3,NA
alarming,3,3,NA
alcoholics,3,3,NA
alertness,3,3,NA
aleshire,3,3,NA
aleut,3,2,NA
alexander,3,3,NA
alexandria,3,3,NA
alexopoulos,3,3,NA
alger,3,3,NA
algorithmic,3,3,NA
alicia,3,2,NA
align_changes,3,2,NA
align_data,3,3,NA
align_ecqms,3,3,NA
align_goals,3,3,NA
align_payment,3,3,NA
align_payments,3,3,NA
align_regulatory,3,2,NA
aljs,3,2,NA
allay,3,3,NA
allegation_source,3,2,NA
alleged_fraud,3,3,NA
allegedly,3,2,NA
allergic_reaction,3,2,NA
allogenic,3,3,NA
allot,3,3,NA
allow_access,3,3,NA
allow_home,3,3,NA
allow_individuals,3,3,person
allow_opportunity,3,3,NA
allow_pfs,3,3,NA
allow_requests,3,2,NA
allow_respondents,3,3,NA
allow_single,3,3,NA
allowability,3,2,NA
allowed_submit,3,2,NA
allowing_dialysis,3,2,NA
allowing_non,3,3,NA
allows_ep,3,3,NA
allows_health,3,3,NA
allows_separate,3,2,NA
allows_use,3,3,NA
along_link,3,3,NA
alphabetically,3,3,NA
already_authority,3,2,NA
already_conducted,3,3,NA
already_conducting,3,3,NA
already_done,3,3,NA
already_effect,3,3,NA
already_living,3,2,NA
already_packaged,3,3,NA
already_previously,3,2,NA
already_receiving,3,3,NA
already_use,3,3,NA
also_adds,3,3,NA
also_adjust,3,3,NA
also_asserted,3,3,NA
also_billed,3,3,NA
also_calculated,3,3,NA
also_create,3,3,NA
also_directed,3,3,NA
also_directs,3,3,NA
also_involved,3,3,NA
also_makes,3,3,NA
also_obtained,3,3,NA
also_occur,3,3,NA
also_offer,3,3,NA
also_offers,3,3,NA
also_permit,3,3,NA
also_permits,3,3,NA
also_proposed_continue_apply,3,3,NA
also_publicly,3,3,NA
also_reiterated,3,3,NA
also_serve,3,3,NA
also_successfully,3,3,NA
also_taken,3,3,NA
also_taking,3,3,NA
also_trigger,3,2,NA
also_urged,3,3,NA
also_working,3,3,NA
alte,3,3,NA
alternate_specification,3,3,NA
alternative_believe,3,3,NA
alternative_budget,3,3,NA
alternative_policy,3,2,NA
alternative_program,3,2,NA
alternatives_described,3,3,NA
alternatives_using,3,2,NA
although_policy,3,3,NA
although_several,3,3,NA
although_tep,3,3,NA
aluminum,3,2,NA
always_include,3,3,NA
ambivalent,3,3,NA
ambulance_ambulance,3,2,NA
ambulance_date,3,3,NA
ambulance_nontransport,3,2,NA
ambulance_staff,3,3,NA
ambulance_vehicle,3,3,NA
ambulanceodf,3,2,NA
ambulatory_payment,3,3,NA
ambulatory_quality,3,2,NA
ameliorating,3,3,NA
amend_paragraphs,3,3,NA
amend_regulation,3,3,NA
amended_section_amended_paragraph,3,3,NA
amended_section_of_consolidated,3,3,NA
amended_striking,3,2,NA
amended_title,3,3,NA
amended_u.s.c,3,3,NA
amends_cfr,3,3,NA
amends_rule,3,3,NA
american_indian,3,3,NA
american_indians,3,3,NA
american_registry,3,3,NA
ami_heart,3,3,NA
amia,3,3,NA
among_acos,3,3,NA
among_available,3,3,NA
among_ltchs,3,3,NA
among_mcos,3,3,NA
among_measures,3,3,NA
among_nursing,3,2,NA
among_pac,3,3,NA
among_patient,3,3,person
among_practitioners,3,3,service_provider
among_residents,3,3,NA
among_stakeholders,3,3,NA
amortized,3,3,NA
amount_apply,3,3,NA
amount_coverage,3,3,NA
amount_cy_hh_pps,3,3,NA
amount_divided_labor_related,3,3,NA
amount_duration,3,3,NA
amount_either,3,2,NA
amount_episode,3,3,NA
amount_hospital_specific_payment,3,3,NA
amount_hospitals_puerto_rico,3,3,NA
amount_imposed,3,3,NA
amount_includes,3,3,NA
amount_indicated,3,3,NA
amount_individual,3,3,NA
amount_invited,3,3,NA
amount_labor,3,3,NA
amount_ltch_pps_standard,3,3,NA
amount_may_adjusted,3,3,NA
amount_nearest,3,3,NA
amount_needed,3,3,NA
amount_of_program_reimbursement,3,3,NA
amount_otherwise_paid_medicare,3,3,NA
amount_outlier,3,3,NA
amount_outpatient,3,3,services
amount_pass,3,3,NA
amount_patient,3,3,person
amount_percentage,3,3,NA
amount_portion,3,3,NA
amount_purposes,3,3,NA
amount_refer_readers_section,3,3,NA
amount_remaining,3,2,NA
amount_resulting,3,3,NA
amount_rule_include,3,2,NA
amount_sum,3,3,NA
amount_version,3,3,NA
amount_zero,3,3,NA
amounts_calculated,3,3,NA
amounts_claimed,3,2,NA
amounts_cost,3,2,NA
amounts_covered,3,3,NA
amounts_ensure,3,3,NA
amounts_made,3,3,NA
amounts_noted,3,3,NA
amounts_oral,3,3,NA
amounts_percent,3,3,NA
amounts_percent_of,3,3,NA
amounts_rebasing,3,3,NA
amoxicillin,3,2,NA
amplified,3,3,NA
ampules,3,2,NA
amputations,3,3,NA
amusement,3,3,NA
analogy,3,3,NA
analyses_suggest,3,3,NA
analysis_appendix,3,3,NA
analysis_available,3,3,NA
analysis_clinical,3,3,NA
analysis_described,3,3,NA
analysis_due,3,3,NA
analysis_estimated,3,3,NA
analysis_future_oriented_thus,3,3,NA
analysis_identify,3,3,NA
analysis_indicate,3,3,NA
analysis_indicated,3,3,NA
analysis_must,3,3,NA
analysis_note,3,3,NA
analysis_presented,3,3,NA
analysis_report,3,3,NA
analysis_results,3,3,NA
analysis_section,3,3,NA
analysis_several,3,3,NA
analysis_used_analytic_file,3,3,NA
analysis_well,3,3,NA
analyst_equivalent,3,2,NA
analyst_hourly,3,3,NA
analyze_response,3,3,NA
analyze_responses,3,3,NA
ancillary_ccrs,3,3,NA
ancillary_costs,3,3,NA
ancillary_radiology,3,3,NA
ancillary_radiology_services_involving,3,3,services
anecdotally,3,3,NA
anesthetist_crna,3,3,NA
aneurysms,3,3,NA
angiography_head,3,2,NA
angioplasty_performed,3,2,NA
angus,3,3,NA
aniseikonia,3,2,NA
anniversary,3,3,NA
annotating,3,2,NA
announce_actual,3,3,NA
announce_changes,3,3,NA
annu,3,3,NA
annual_adjustments,3,3,NA
annual_amount,3,3,NA
annual_burden_associated_requirement,3,3,NA
annual_comprehensive,3,2,NA
annual_cpt,3,3,NA
annual_effect,3,2,NA
annual_face,3,2,NA
annual_packaging,3,3,NA
annual_period,3,3,NA
annual_proposed_final,3,3,NA
annual_site,3,3,NA
annual_spring,3,3,NA
annual_surveys,3,3,NA
annual_update_less_zero,3,3,NA
annualized_burden_of_hr,3,3,NA
annualized_state,3,2,NA
annualizing_one_time_estimate,3,3,NA
annually_communication,3,3,NA
annually_ensure,3,3,NA
annually_evaluate,3,3,NA
annually_frequently,3,3,NA
annually_legislature,3,3,NA
annually_make_appropriate,3,3,NA
annually_recalibrate,3,3,NA
annually_reflect,3,3,NA
annually_require,3,3,NA
annually_thus,3,3,NA
annually_upon,3,3,NA
annually_using,3,3,NA
anonymity,3,3,NA
another_adult,3,3,NA
another_applicable,3,2,NA
another_collection,3,3,NA
another_country,3,3,NA
another_covered,3,3,NA
another_hha,3,3,NA
another_loc,3,3,NA
another_otp,3,3,NA
another_pharmacy,3,3,NA
another_professional,3,3,NA
another_qcdr,3,3,NA
anoxic,3,3,NA
antegrade,3,2,NA
anthony,3,2,NA
anthracycline,3,2,NA
anti_emetic,3,3,NA
anti_hemophilic,3,3,NA
anticipate_complying,3,3,NA
anticipate_hospitals,3,3,NA
anticipate_vast,3,3,NA
anticipated_payment,3,2,NA
antidotes,3,3,NA
antiemetics,3,3,NA
antiquated,3,3,NA
antiseptics,3,2,NA
ao's_accredited,3,3,NA
ao's_survey,3,3,NA
ao_accreditation,3,2,NA
ao_prepare,3,3,NA
ao_submit,3,3,NA
aortic_valves,3,2,NA
aos_offices,3,2,NA
aota,3,2,NA
apc_assignment_hcpcs_code,3,3,NA
apc_cardiac,3,3,NA
apc_clinical,3,2,NA
apc_continue,3,3,NA
apc_ct_cta_without,3,3,NA
apc_discussed,3,3,NA
apc_effective,3,3,NA
apc_final,3,3,NA
apc_hcpcs,3,3,NA
apc_listed,3,2,NA
apc_median,3,3,NA
apc_note,3,3,NA
apc_offset_applicable_case,3,2,NA
apc_per_diem_payment,3,2,NA
apc_placement,3,3,NA
apc_ratesetting,3,3,NA
apc_reassignments,3,2,NA
apc_refer,3,3,NA
apcs_applicable,3,3,NA
apcs_assigned_status_indicator,3,3,NA
apcs_believe,3,3,NA
apcs_c,3,3,NA
apcs_described,3,3,NA
apcs_designated,3,3,NA
apcs_established,3,3,NA
apcs_included,3,3,NA
apcs_longer,3,3,NA
apcs_meet,3,3,NA
apexification,3,2,NA
apexogenesis,3,2,NA
apiece,3,3,NA
apm_scoring,3,3,NA
apms_also,3,3,NA
apms_payer,3,3,NA
apms_payer_advanced_apms,3,2,NA
apoptosis,3,2,NA
app_quality,3,2,NA
apparent_suspected,3,2,NA
appeal_adverse,3,3,NA
appeal_department,3,3,NA
appeal_determination,3,3,NA
appeal_either,3,3,NA
appeal_provide,3,3,NA
appeal_state,3,3,NA
appeal_within_days_of,3,2,NA
appeals_expedited,3,3,NA
appeals_state,3,3,NA
appearances,3,3,NA
appendicular,3,3,NA
appendix_detailed,3,3,NA
applicable_across,3,2,NA
applicable_articles,3,3,NA
applicable_auc,3,3,NA
applicable_available_type_of,3,3,NA
applicable_cah,3,3,NA
applicable_cola,3,3,NA
applicable_confidentiality,3,2,NA
applicable_federal_state_local,3,3,NA
applicable_fees,3,3,NA
applicable_fixed,3,3,NA
applicable_form,3,3,NA
applicable_length,3,2,NA
applicable_opd_fee_schedule,3,3,NA
applicable_percentage_increase_applied,3,3,NA
applicable_percentage_increases_applied,3,3,NA
applicable_phps,3,3,NA
applicable_puerto,3,3,NA
applicable_standard,3,3,NA
applicable_statement,3,3,NA
applicable_submitted,3,3,NA
applicant_another,3,2,NA
applicant_application,3,3,NA
applicant_asserts,3,2,NA
applicant_completed,3,3,NA
applicant_included,3,3,NA
applicant_means,3,3,NA
applicant_necessary,3,3,NA
applicant_renewal,3,3,NA
application's,3,3,NA
application_amendments,3,3,NA
application_application,3,3,NA
application_certification,3,3,NA
application_champs,3,3,NA
application_community,3,3,NA
application_history,3,3,NA
application_made,3,3,NA
application_non,3,3,NA
application_po,3,3,NA
application_prior,3,3,NA
application_refer,3,3,NA
application_reweighting,3,3,NA
application_submit,3,3,NA
application_using,3,3,NA
applications_denied,3,3,NA
applications_select,3,3,NA
applied_classification,3,3,NA
applied_cumulatively_determining_capital,3,3,NA
applied_device,3,3,NA
applied_directly,3,3,NA
applied_individuals,3,3,person
applied_inflation,3,3,NA
applied_inflation_factor_of,3,3,NA
applied_measure,3,2,NA
applied_standard,3,3,NA
applied_wage,3,3,NA
applies_chip,3,3,NA
applies_eps,3,3,NA
applies_fy_payment_adjustment,3,3,NA
applies_revised,3,2,NA
applies_subsection,3,3,NA
apply_aligned,3,2,NA
apply_budget_neutrality_factor,3,3,NA
apply_cahs,3,3,NA
apply_ccr,3,3,NA
apply_consistent,3,3,NA
apply_example,3,2,NA
apply_except,3,3,NA
apply_future,3,3,NA
apply_hospice,3,2,NA
apply_individuals,3,3,person
apply_methodology_described_purpose,3,3,NA
apply_nursing,3,3,NA
apply_physician,3,3,service_provider
apply_replacement,3,3,NA
apply_resident,3,2,NA
apply_sch,3,3,NA
apply_states,3,3,NA
apply_statistical,3,3,NA
apply_tests,3,2,NA
apply_track,3,2,NA
apply_uniformly,3,3,NA
applying_best,3,3,NA
appointed_guardian,3,3,NA
appointed_pursuant,3,3,NA
appointed_shall,3,3,NA
appraise,3,3,NA
appraiser,3,2,NA
appreciate_comment,3,3,NA
appreciate_concern,3,3,NA
appreciate_suggestions,3,3,NA
appreciating,3,3,NA
appreciative,3,3,NA
apprised,3,3,NA
approach_accurately,3,3,NA
approach_aligns,3,3,NA
approach_approach,3,3,NA
approach_focuses,3,3,NA
approach_identifying,3,3,NA
approach_php,3,3,NA
approach_procedure,3,3,NA
approach_requestor,3,3,NA
approach_results,3,3,NA
approach_stage,3,3,NA
approaches_used,3,3,NA
appropriate_actions,3,3,NA
appropriate_base,3,3,NA
appropriate_bill,3,3,NA
appropriate_billing,3,3,NA
appropriate_category,3,3,NA
appropriate_cc,3,3,NA
appropriate_certification,3,3,NA
appropriate_compensation,3,2,NA
appropriate_court,3,3,NA
appropriate_coverage,3,3,NA
appropriate_furnish,3,3,NA
appropriate_incentives,3,2,NA
appropriate_invoice,3,3,NA
appropriate_limits,3,3,NA
appropriate_location,3,3,NA
appropriate_measure_type_prior,3,3,NA
appropriate_methods,3,2,NA
appropriate_multiple,3,3,NA
appropriate_offer,3,2,NA
appropriate_possible,3,3,NA
appropriate_provision,3,3,NA
appropriate_qualifications,3,3,NA
appropriate_quantity,3,3,NA
appropriate_recommendations,3,3,NA
appropriate_secretary_section_of,3,3,NA
appropriate_sections,3,3,NA
