term,term_count,doc_count
admission_inpatient,3,3
admission_level,3,3
admission_notice,3,3
admission_patient,3,3
admission_poa,3,3
admission_type,3,2
admissions_case,3,3
admitted_eligible_hospital_cah's,3,2
admitted_home,3,3
admitted_treatment,3,3
adolescent_functional,3,3
adolescents_serious,3,2
adolescents_years_of_age,3,3
adolescent’s,3,3
adopt_certified,3,3
adopt_ehrs,3,3
adopt_safe,3,2
adopted_cy_opps_asc,3,2
adopted_minimum,3,2
adopted_part,3,3
adopted_policies,3,3
adopted_process,3,3
adopting_cy,3,3
adopting_implementing,3,2
adoption_o,3,3
adrenergic,3,3
adt,3,2
adult_core,3,3
adult_designated,3,3
adulterated,3,3
advance_care,3,3
advance_planning,3,3
advance_quality,3,3
advanced_diagnostic,3,3
advancing_care,3,2
advantage_ime,3,3
advantage_managed,3,3
adverse_actions,3,3
advice_asc,3,3
advice_gross,3,3
advice_ra,3,3
advisors_support,3,3
ae,3,3
aer,3,2
aerobic,3,2
afcs,3,3
aff'd,3,3
affect_hospice's,3,3
affect_hospitals,3,3
affect_ltch,3,3
affect_patient's,3,3
affect_reporting,3,3
affect_states,3,3
affected_annual,3,3
affected_change_wage_index,3,3
affected_public,3,2
afferent,3,3
affiliated_group,3,2
affordability_of,3,3
affordable_care_act_codified,3,3
afls,3,3
aforementioned_information,3,3
aforementioned_requirements,3,3
afterwards,3,3
age_beneficiary,3,3
age_four,3,2
age_national,3,3
age_of_years_subset,3,3
age_range_of,3,2
age_risk,3,3
age_younger,3,2
aged_adult,3,2
aged_children,3,3
agencies_appropriate,3,3
agencies_ensure,3,3
agencies_fewer,3,3
agencies_includes,3,3
agencies_providing,3,3
agencies_retain,3,3
agency's_patients,3,2
agency's_policies,3,2
agency_adult,3,3
agency_agency,3,3
agency_aging,3,3
agency_approved,3,3
agency_can,3,3
agency_choice,3,3
agency_complies,3,3
agency_delay,3,3
agency_develop,3,3
agency_ensure,3,3
agency_entity,3,3
agency_inpatient,3,2
agency_least,3,3
agency_means,3,3
agency_must_meet_promulgates,3,3
agency_part,3,3
agency_prior,3,3
agency_providers,3,3
agency_public,3,3
agency_representatives,3,3
agency_review,3,3
agency_rn,3,3
agency_specific,3,3
agency_total_estimated_cost,3,3
agency_treat,3,2
agent_mco,3,3
agent_means,3,3
agent_pass,3,3
agents_diagnostic,3,3
agents_proposed,3,3
aggregate_pe,3,3
aggregate_population,3,3
aggregate_total,3,2
aggregated_cy,3,3
aggressively,3,3
agnostic,3,3
agrawal,3,3
agree_comments,3,3
agree_important,3,3
agreeable,3,3
agreement.pdf,3,3
agreement_however,3,3
agreement_prototype,3,3
agreement_secretary,3,3
agreement_self,3,3
agreement_specifically,3,3
agreement_version,3,3
agreements_contracts,3,3
aguadilla,3,3
ahead,3,3
ahrq_publication,3,2
aicpas,3,3
aide_qualifications,3,3
aide_service,3,3
aide_supervision,3,3
aide_trainer,3,2
aide_visit,3,3
aide_visits,3,3
ailments,3,3
air_fluidized,3,3
airfare,3,2
airways,3,3
al_association,3,2
al_mh,3,3
alameda,3,2
alarm_fire,3,3
alarm_system,3,3
alarming,3,3
alcoholics,3,3
alertness,3,3
aleshire,3,3
aleut,3,2
alexander,3,3
alexandria,3,3
alexopoulos,3,3
alger,3,3
algorithmic,3,3
alicia,3,2
align_changes,3,2
align_data,3,3
align_ecqms,3,3
align_goals,3,3
align_payment,3,3
align_payments,3,3
align_regulatory,3,2
aljs,3,2
allay,3,3
allegation_source,3,2
alleged_fraud,3,3
allegedly,3,2
allergic_reaction,3,2
allogenic,3,3
allot,3,3
allow_access,3,3
allow_home,3,3
allow_individuals,3,3
allow_opportunity,3,3
allow_pfs,3,3
allow_requests,3,2
allow_respondents,3,3
allow_single,3,3
allowability,3,2
allowed_submit,3,2
allowing_dialysis,3,2
allowing_non,3,3
allows_ep,3,3
allows_health,3,3
allows_separate,3,2
allows_use,3,3
along_link,3,3
alphabetically,3,3
already_authority,3,2
already_conducted,3,3
already_conducting,3,3
already_done,3,3
already_effect,3,3
already_living,3,2
already_packaged,3,3
already_previously,3,2
already_receiving,3,3
already_use,3,3
also_adds,3,3
also_adjust,3,3
also_asserted,3,3
also_billed,3,3
also_calculated,3,3
also_create,3,3
also_directed,3,3
also_directs,3,3
also_involved,3,3
also_makes,3,3
also_obtained,3,3
also_occur,3,3
also_offer,3,3
also_offers,3,3
also_permit,3,3
also_permits,3,3
also_proposed_continue_apply,3,3
also_publicly,3,3
also_reiterated,3,3
also_serve,3,3
also_successfully,3,3
also_taken,3,3
also_taking,3,3
also_trigger,3,2
also_urged,3,3
also_working,3,3
alte,3,3
alternate_specification,3,3
alternative_believe,3,3
alternative_budget,3,3
alternative_policy,3,2
alternative_program,3,2
alternatives_described,3,3
alternatives_using,3,2
although_policy,3,3
although_several,3,3
although_tep,3,3
aluminum,3,2
always_include,3,3
ambivalent,3,3
ambulance_ambulance,3,2
ambulance_date,3,3
ambulance_nontransport,3,2
ambulance_staff,3,3
ambulance_vehicle,3,3
ambulanceodf,3,2
ambulatory_payment,3,3
ambulatory_quality,3,2
ameliorating,3,3
amend_paragraphs,3,3
amend_regulation,3,3
amended_section_amended_paragraph,3,3
amended_section_of_consolidated,3,3
amended_striking,3,2
amended_title,3,3
amended_u.s.c,3,3
amends_cfr,3,3
amends_rule,3,3
american_indian,3,3
american_indians,3,3
american_registry,3,3
ami_heart,3,3
amia,3,3
among_acos,3,3
among_available,3,3
among_ltchs,3,3
among_mcos,3,3
among_measures,3,3
among_nursing,3,2
among_pac,3,3
among_patient,3,3
among_practitioners,3,3
among_residents,3,3
among_stakeholders,3,3
amortized,3,3
amount_apply,3,3
amount_coverage,3,3
amount_cy_hh_pps,3,3
amount_divided_labor_related,3,3
amount_duration,3,3
amount_either,3,2
amount_episode,3,3
amount_hospital_specific_payment,3,3
amount_hospitals_puerto_rico,3,3
amount_imposed,3,3
amount_includes,3,3
amount_indicated,3,3
amount_individual,3,3
amount_invited,3,3
amount_labor,3,3
amount_ltch_pps_standard,3,3
amount_may_adjusted,3,3
amount_nearest,3,3
amount_needed,3,3
amount_of_program_reimbursement,3,3
amount_otherwise_paid_medicare,3,3
amount_outlier,3,3
amount_outpatient,3,3
amount_pass,3,3
amount_patient,3,3
amount_percentage,3,3
amount_portion,3,3
amount_purposes,3,3
amount_refer_readers_section,3,3
amount_remaining,3,2
amount_resulting,3,3
amount_rule_include,3,2
amount_sum,3,3
amount_version,3,3
amount_zero,3,3
amounts_calculated,3,3
amounts_claimed,3,2
amounts_cost,3,2
amounts_covered,3,3
amounts_ensure,3,3
amounts_made,3,3
amounts_noted,3,3
amounts_oral,3,3
amounts_percent,3,3
amounts_percent_of,3,3
amounts_rebasing,3,3
amoxicillin,3,2
amplified,3,3
ampules,3,2
amputations,3,3
amusement,3,3
analogy,3,3
analyses_suggest,3,3
analysis_appendix,3,3
analysis_available,3,3
analysis_clinical,3,3
analysis_described,3,3
analysis_due,3,3
analysis_estimated,3,3
analysis_future_oriented_thus,3,3
analysis_identify,3,3
analysis_indicate,3,3
analysis_indicated,3,3
analysis_must,3,3
analysis_note,3,3
analysis_presented,3,3
analysis_report,3,3
analysis_results,3,3
analysis_section,3,3
analysis_several,3,3
analysis_used_analytic_file,3,3
analysis_well,3,3
analyst_equivalent,3,2
analyst_hourly,3,3
analyze_response,3,3
analyze_responses,3,3
ancillary_ccrs,3,3
ancillary_costs,3,3
ancillary_radiology,3,3
ancillary_radiology_services_involving,3,3
anecdotally,3,3
anesthetist_crna,3,3
aneurysms,3,3
angiography_head,3,2
angioplasty_performed,3,2
angus,3,3
aniseikonia,3,2
anniversary,3,3
annotating,3,2
announce_actual,3,3
announce_changes,3,3
annu,3,3
annual_adjustments,3,3
annual_amount,3,3
annual_burden_associated_requirement,3,3
annual_comprehensive,3,2
annual_cpt,3,3
annual_effect,3,2
annual_face,3,2
annual_packaging,3,3
annual_period,3,3
annual_proposed_final,3,3
annual_site,3,3
annual_spring,3,3
annual_surveys,3,3
annual_update_less_zero,3,3
annualized_burden_of_hr,3,3
annualized_state,3,2
annualizing_one_time_estimate,3,3
annually_communication,3,3
annually_ensure,3,3
annually_evaluate,3,3
annually_frequently,3,3
annually_legislature,3,3
annually_make_appropriate,3,3
annually_recalibrate,3,3
annually_reflect,3,3
annually_require,3,3
annually_thus,3,3
annually_upon,3,3
annually_using,3,3
anonymity,3,3
another_adult,3,3
another_applicable,3,2
another_collection,3,3
another_country,3,3
another_covered,3,3
another_hha,3,3
another_loc,3,3
another_otp,3,3
another_pharmacy,3,3
another_professional,3,3
another_qcdr,3,3
anoxic,3,3
antegrade,3,2
anthony,3,2
anthracycline,3,2
anti_emetic,3,3
anti_hemophilic,3,3
anticipate_complying,3,3
anticipate_hospitals,3,3
anticipate_vast,3,3
anticipated_payment,3,2
antidotes,3,3
antiemetics,3,3
antiquated,3,3
antiseptics,3,2
ao's_accredited,3,3
ao's_survey,3,3
ao_accreditation,3,2
ao_prepare,3,3
ao_submit,3,3
aortic_valves,3,2
aos_offices,3,2
aota,3,2
apc_assignment_hcpcs_code,3,3
apc_cardiac,3,3
apc_clinical,3,2
apc_continue,3,3
apc_ct_cta_without,3,3
apc_discussed,3,3
apc_effective,3,3
apc_final,3,3
apc_hcpcs,3,3
apc_listed,3,2
apc_median,3,3
apc_note,3,3
apc_offset_applicable_case,3,2
apc_per_diem_payment,3,2
apc_placement,3,3
apc_ratesetting,3,3
apc_reassignments,3,2
apc_refer,3,3
apcs_applicable,3,3
apcs_assigned_status_indicator,3,3
apcs_believe,3,3
apcs_c,3,3
apcs_described,3,3
apcs_designated,3,3
apcs_established,3,3
apcs_included,3,3
apcs_longer,3,3
apcs_meet,3,3
apexification,3,2
apexogenesis,3,2
apiece,3,3
apm_scoring,3,3
apms_also,3,3
apms_payer,3,3
apms_payer_advanced_apms,3,2
apoptosis,3,2
app_quality,3,2
apparent_suspected,3,2
appeal_adverse,3,3
appeal_department,3,3
appeal_determination,3,3
appeal_either,3,3
appeal_provide,3,3
appeal_state,3,3
appeal_within_days_of,3,2
appeals_expedited,3,3
appeals_state,3,3
appearances,3,3
appendicular,3,3
appendix_detailed,3,3
applicable_across,3,2
applicable_articles,3,3
applicable_auc,3,3
applicable_available_type_of,3,3
applicable_cah,3,3
applicable_cola,3,3
applicable_confidentiality,3,2
applicable_federal_state_local,3,3
applicable_fees,3,3
applicable_fixed,3,3
applicable_form,3,3
applicable_length,3,2
applicable_opd_fee_schedule,3,3
applicable_percentage_increase_applied,3,3
applicable_percentage_increases_applied,3,3
applicable_phps,3,3
applicable_puerto,3,3
applicable_standard,3,3
applicable_statement,3,3
applicable_submitted,3,3
applicant_another,3,2
applicant_application,3,3
applicant_asserts,3,2
applicant_completed,3,3
applicant_included,3,3
applicant_means,3,3
applicant_necessary,3,3
applicant_renewal,3,3
application's,3,3
application_amendments,3,3
application_application,3,3
application_certification,3,3
application_champs,3,3
application_community,3,3
application_history,3,3
application_made,3,3
application_non,3,3
application_po,3,3
application_prior,3,3
application_refer,3,3
application_reweighting,3,3
application_submit,3,3
application_using,3,3
applications_denied,3,3
applications_select,3,3
applied_classification,3,3
applied_cumulatively_determining_capital,3,3
applied_device,3,3
applied_directly,3,3
applied_individuals,3,3
applied_inflation,3,3
applied_inflation_factor_of,3,3
applied_measure,3,2
applied_standard,3,3
applied_wage,3,3
applies_chip,3,3
applies_eps,3,3
applies_fy_payment_adjustment,3,3
applies_revised,3,2
applies_subsection,3,3
apply_aligned,3,2
apply_budget_neutrality_factor,3,3
apply_cahs,3,3
apply_ccr,3,3
apply_consistent,3,3
apply_example,3,2
apply_except,3,3
apply_future,3,3
apply_hospice,3,2
apply_individuals,3,3
apply_methodology_described_purpose,3,3
apply_nursing,3,3
apply_physician,3,3
apply_replacement,3,3
apply_resident,3,2
apply_sch,3,3
apply_states,3,3
apply_statistical,3,3
apply_tests,3,2
apply_track,3,2
apply_uniformly,3,3
applying_best,3,3
appointed_guardian,3,3
appointed_pursuant,3,3
appointed_shall,3,3
appraise,3,3
appraiser,3,2
appreciate_comment,3,3
appreciate_concern,3,3
appreciate_suggestions,3,3
appreciating,3,3
appreciative,3,3
apprised,3,3
approach_accurately,3,3
approach_aligns,3,3
approach_approach,3,3
approach_focuses,3,3
approach_identifying,3,3
approach_php,3,3
approach_procedure,3,3
approach_requestor,3,3
approach_results,3,3
approach_stage,3,3
approaches_used,3,3
appropriate_actions,3,3
appropriate_base,3,3
appropriate_bill,3,3
appropriate_billing,3,3
appropriate_category,3,3
appropriate_cc,3,3
appropriate_certification,3,3
appropriate_compensation,3,2
appropriate_court,3,3
appropriate_coverage,3,3
appropriate_furnish,3,3
appropriate_incentives,3,2
appropriate_invoice,3,3
appropriate_limits,3,3
appropriate_location,3,3
appropriate_measure_type_prior,3,3
appropriate_methods,3,2
appropriate_multiple,3,3
appropriate_offer,3,2
appropriate_possible,3,3
appropriate_provision,3,3
appropriate_qualifications,3,3
appropriate_quantity,3,3
appropriate_recommendations,3,3
appropriate_secretary_section_of,3,3
appropriate_sections,3,3
appropriate_segments,3,3
appropriate_skills,3,3
appropriate_social,3,3
appropriate_standardized,3,2
appropriate_supporting,3,3
appropriate_therefore,3,3
appropriate_timeframe,3,3
appropriate_timely,3,3
appropriate_unit_of_service,3,3
appropriate_utilization,3,3
appropriate_version,3,3
appropriately_accounts,3,3
appropriately_adjust,3,3
appropriately_furnished,3,3
appropriately_reported,3,3
approval_accordance,3,2
approval_adoption,3,3
approval_also,3,3
approval_authorization,3,3
approval_based,3,3
approval_disapproval,3,3
approval_fda,3,3
approval_required,3,3
approval_within,3,3
approve_application,3,3
approve_home,3,3
approved_accordance,3,3
approved_amount,3,3
approved_annual,3,3
approved_commission,3,2
approved_drugs,3,3
approved_estimate,3,3
approved_ocn,3,3
approved_office,3,3
approved_participation,3,3
approved_pharmacological,3,3
approved_policies,3,3
approved_residency,3,3
approved_survey_vendor,3,3
approved_years,3,2
approximately_consideration,3,3
approximately_non,3,3
approximation,3,3
apr_compiler's_note_transfer,3,3
apraxia,3,2
april_also,3,3
april_amended,3,3
april_current,3,3
april_exempt,3,3
april_extended,3,3
april_first_quarter_p.m,3,3
april_january,3,3
april_june_july_september,3,3
april_opps_quarterly_update,3,3
april_opsf,3,3
april_secretary,3,3
april_years,3,3
apt_lot,3,3
apu_require_hhas_fewer,3,3
arcah,3,2
area_also,3,3
area_b,3,3
area_can,3,3
area_code,3,3
area_compared,3,3
area_covered,3,3
area_described,3,3
area_determine,3,3
area_higher,3,3
area_hospital,3,2
area_however,3,3
area_includes,3,3
area_indicated,3,3
area_may,3,3
area_medical,3,3
area_provide,3,3
area_shall,3,3
area_specifically,3,3
area_therefore,3,3
area_urban,3,3
area_within,3,3
area_written,3,2
areas_across,3,2
areas_considered,3,3
areas_established,3,3
areas_experience,3,3
areas_hospice,3,3
areas_potential,3,3
areas_served,3,3
arecibo,3,3
arena,3,2
argue,3,2
argued_cms,3,3
arnold,3,3
arranged_maintained,3,3
arrangement's,3,2
arrangement_apm,3,3
arrangement_entity,3,3
arrangement_including,3,3
arrangement_physician,3,3
arrangement_proposed,3,3
arrangement_specific,3,3
arrangement_subject,3,3
arrangement_submission,3,2
arrangement_violate,3,3
arrangement_volunteers,3,2
arrangements_based,3,3
arrangements_hospitals,3,3
arrangements_maos,3,2
arrangements_outside,3,2
arrangements_pay,3,2
arrangements_payer,3,3
arrangements_payment,3,3
arrangements_providers,3,3
arrangements_use,3,3
arranging_reimbursing,3,3
arrays,3,3
arrested_charged,3,3
arrivals,3,3
ars,3,3
arteries_stents,3,2
artery_disease,3,3
artery_percutaneous,3,2
article_board,3,3
article_engage,3,3
article_federal,3,3
article_health,3,2
article_licensee,3,3
article_owner,3,3
article_prohibit,3,3
article_subject,3,3
asc_can,3,2
asc_payment_system_aggregate,3,3
asc_proposed,3,3
asc_provides,3,3
asc_provisions,3,3
asc_quarterly,3,3
asc_rates,3,3
asc_reduction,3,3
asc_rulemaking,3,3
asc_standard,3,3
ascpaymentsystem.html,3,3
ascs_already,3,2
ascs_collect,3,2
ascs_cost,3,3
ascs_develop,3,3
ascs_maintain,3,2
ascs_paid,3,3
aseptic,3,3
asked_public,3,3
asked_us,3,3
asm,3,2
asop,3,2
asp_methodology_drugs_biologicals,3,3
asp_pricing,3,2
aspe's_first,3,2
assaultive,3,3
assaults,3,2
assays,3,3
assertive,3,2
assertiveness,3,3
assess_compliance,3,3
assess_ensure,3,2
assess_methodology_data_used,3,3
assess_patients,3,2
assess_progress,3,2
assess_resident,3,3
assessed_adequacy,3,3
assessed_civil,3,3
assessed_needs,3,3
assessed_usual,3,3
assesses_number,3,2
assessment_can,3,2
assessment_clinician,3,3
assessment_comprehensive,3,3
assessment_counseling,3,3
assessment_diagnosis,3,3
assessment_dimensions_of_current,3,3
assessment_emergency,3,3
assessment_hospice,3,3
assessment_identify,3,3
assessment_indicates,3,3
assessment_individualized,3,3
assessment_patient's,3,3
assessment_periodic,3,3
assessment_updated,3,3
assessment_via,3,3
assessments_also,3,3
assessments_including,3,3
asset_change,3,3
assets_source,3,3
assign_maintain,3,2
assign_medical,3,2
assigned_additional,3,3
assigned_based,3,3
assigned_device,3,3
assigned_higher,3,3
assigned_medical,3,3
assigned_ms,3,3
assigned_principal,3,3
assigned_service,3,3
assigned_staff,3,2
assigned_trained,3,3
assignment_agreement,3,3
assignment_of_cpt_code,3,3
assignment_retrospective,3,2
assignments_based,3,3
assignments_cpt,3,3
assignments_cy,3,3
assignments_proposed,3,3
assist_adult,3,3
assist_eligible,3,3
assist_local,3,3
assist_mips,3,3
assistance_housing,3,3
assistance_individual,3,3
assistance_medicaid,3,2
assistance_obtaining,3,2
assistance_recipients,3,3
assistance_required,3,3
assistance_service,3,3
assistance_toileting,3,3
assistance_use,3,2
assistant's_dea,3,3
assistant_part,3,3
assistant_prescribes,3,3
assistant_successfully,3,2
associate's,3,3
associated_benefit,3,3
associated_bypass,3,3
associated_certain,3,3
associated_certification,3,3
associated_complying,3,3
associated_diagnostic,3,3
associated_excessive,3,3
associated_first,3,3
associated_hcpcs,3,3
associated_infections,3,3
associated_measures_rule_rule,3,3
associated_non,3,3
associated_packaged,3,3
associated_pfs,3,3
associated_poor,3,3
associated_proposal,3,3
associated_qcdr,3,3
associated_removal,3,3
associated_restraint,3,3
associated_submission,3,3
associated_using,3,2
association_american,3,2
association_organization,3,2
association’s,3,3
assume_use,3,3
assumption_important,3,3
assumption_receive,3,3
assumptions_behavior,3,2
assumptions_first,3,3
assurance_improvement,3,3
assurance_performance,3,3
assurance_plan,3,2
assurance_review,3,2
assurance_reviews,3,3
assure_access,3,3
assure_beneficiary,3,3
assure_medicaid,3,3
ast,3,3
asymmetry,3,2
athlete's,3,2
atlantic_east_north_central,3,2
atmospheric,3,3
atp,3,2
atrium,3,3
attempting_obtain,3,3
attendance_requirements,3,3
attendant_services,3,3
attention_cms_desk_officer,3,3
attention_typically,3,3
attenuated,3,3
attest_cqms,3,2
attest_fact,3,3
attestation_deadline,3,3
attestation_electronic,3,3
attestation_regarding,3,3
attestation_state,3,3
