cmit_id,nqf_id,cms_ecqm_id,qnbr_id,qcdr_id,other_id,measure_title,measure_description,measure_numerator,measure_denominator,cat_nqs_domain,key_access,key_decision,key_planning,key_risk,key_unrestrict,key_er,key_coordination,key_continuity,key_readmission,key_sud,key_mental_health,key_domains,set_medicaid,set_hedis,set_cahps,set_pbip,set_ccbhc,set_ipfqr,set_core_bh,select_programs,total_programs,is_ecqm
1741,0710,CMS159v8,0370,NA,NA,Depression Remission at Twelve Months,The percentage of adolescent patients 12 to 17 years of age and adult patients 18 years of age or older with major depression or dysthymia who reached remission 12 months (+/- 60 days) after an index event date.,"Submission Criteria 1: Adolescent patients aged 12 to 17 years of age who achieved remission at twelve months as demonstrated by a twelve month (+/- 60 days) PHQ-9 or PHQ-9M score of less than five
Submission Criteria 2: Adult patients aged 18 years of age and older who achieved remission at twelve months as demonstrated by a twelve month (+/- 60 days) PHQ-9 or PHQ-9M score of less than five","Submission Criteria 1: Adolescent patients 12 to 17 years of age with a diagnosis of major depression or dysthymia and an initial PHQ-9 or PHQ-9M score greater than nine during the index event
Submission Criteria 2: Adult patients aged 18 and older with a diagnosis of major depression or dysthymia and an initial PHQ-9 or PHQ-9M score greater than nine during the index event",Effective Clinical Care,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,8,TRUE
181,3477,NA,NA,NA,NA,Discharge to Community (Claims-based),Percentage of home health episode after which patients remained at home.,Number of home health episodes where the assessment completed at the discharge indicates the patient remained in the community after discharge.,"Number of home health episodes of care ending with a discharge or transfer to inpatient facility during the reporting period, other than those covered by generic or measure-specific exclusions.",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,FALSE
182,0173,NA,NA,NA,NA,Emergency Department Use without Hospitalization During the First 60 days of Home Health (Claims-based),Percentage of home health stays in which patients used the emergency department but were not admitted to the hospital during the 60 days following the start of the home health stay.,Number of home health stays for patients who have a Medicare claim for outpatient emergency department use and no claims for acute care hospitalization in the 60 days following the start of the home health stay.,Number of home health stays that begin during the 12-month observation period.,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,FALSE
1958,NA,NA,NA,NA,NA,Maternity Care: Post-Partum Follow-Up and Care Coordination,"Percentage of patients, regardless of age, who gave birth during a 12-month period who were seen for postpartum care within 8 weeks of giving birth and who received a breast-feeding evaluation and education, postpartum depression screening, postpartum glucose screening for gestational diabetes patients, family and contraceptive planning counseling, tobacco use screening and cessation education, healthy lifestyle behavioral advice, and an immunization review and update.","Patients receiving the following at a post-partum visit:
* Breast feeding evaluation and education, including patient-reported breast feeding
* Post-partum depression screening
* Post-partum glucose screening for gestational diabetes patients
* Family and contraceptive planning counseling
* Tobacco use screening and cessation education
* Healthy lifestyle behavioral advice
* Immunization review and update","All patients, regardless of age, who gave birth during a 12-month period seen for post-partum care visit before or at 8 weeks of giving birth",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,FALSE
196,0526,NA,NA,NA,NA,Timely Initiation of Care,"Percentage of home health quality episodes in which the start or resumption of care date was on the physician-ordered SOC/ROC date (if provided), otherwise was within 2 days of the referral date or inpatient discharge date, whichever is later.","Number of home health quality episodes in which the start or resumption of care date was on the physician-ordered SOC/ROC date (if provided), otherwise was within 2 days of the referral date or inpatient discharge date.","Number of home health quality episodes ending with discharge, death, or transfer to inpatient facility during the reporting period, other than those covered by generic or measure-specific exclusions.",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,FALSE
1969,NA,NA,NA,NA,NA,Unplanned Hospital Readmission within 30 Days of Principal Procedure,Percentage of patients aged 18 years and older who had an unplanned hospital readmission within 30 days of principal procedure,"Inpatient readmission to the same hospital for any reason or an outside hospital (if known to the surgeon), within 30 days of the principal surgical procedure",Patients aged 18 years and older undergoing a surgical procedure,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,FALSE
1979,NA,NA,NA,NA,NA,Implantable Cardioverter-Defibrillator (ICD) Complications Rate,Patients with physician-specific risk-standardized rates of procedural complications following the first time implantation of an ICD,"SUBMISSION CRITERIA 1: Number of patients with one or more of the following complications or mortality within 30 days (depending on the complication) following ICD implantation
SUBMISSION CRITERIA 2: Number of patients with one or more of the following complications within 90 days (depending on the complication) following ICD implantation","SUBMISSION CRITERIA 1: Patients aged > 65 years of age with a first time implantation of an ICD performed > 31 days prior to the end of the performance period
SUBMISSION CRITERIA 2: Patients aged > 65 years of age with a first time implantation of an ICD performed > 91 prior to the end of the performance period.",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,FALSE
2326,NA,NA,NA,NA,NA,Clinical Depression Screening and Follow-Up,"Facility reports in CROWNWeb one of the six conditions for each qualifying patient treated during the performance period: a) Screening for clinical depression is documented as being positive, and a follow-up plan is documented
b) Screening for clinical depression documented as positive, and a follow-up plan not documented, and the facility possess documentation stating the patient is not eligible
c) Screening for clinical depression documented as positive, the facility possesses no documentation of a follow-up plan, and no reason is given
d) Screening for clinical depression is documented as negative, and a follow-up plan is not required
e) Screening for clinical depression not documented, but the facility possesses documentation stating the patient is not eligible
f) Clinical depression screening not documented, and no reason is given",Patient's screening for clinical depression using an age appropriate standardized tool AND follow-up plan is documented,Patients 12 years or older who have been treated at the facility for 90 days or longer,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,FALSE
2503,0105,NA,NA,NA,NA,Antidepressant Medication Management (AMM-AD),"Percentage of patients 18 years of age and older who were treated with antidepressant medication, had a diagnosis of major depression, and who remained on an antidepressant medication treatment. Two rates are reported. 
a. Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). 
b. Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months).","Numerator 1: Patients who have received antidepressant medication for at least 84 days (12 weeks) of continuous treatment during the 114-day period following the Index Prescription Start Date.

Numerator 2: Patients who have received antidepressant medications for at least 180 days (6 months) of continuous treatment during the 231-day period following the Index Prescription Start Date.","Patients 18 years of age and older with a visit during the measurement period who were dispensed antidepressant medications in the time within 270 days (9 months) prior to the measurement period through the first 90 days (3 months) of the measurement period, and were diagnosed with major depression 60 days prior to, or 60 days after the dispensing event",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,7,FALSE
2511,0004,NA,NA,NA,NA,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,"Percentage of patients 13 years of age and older with a new episode of alcohol or other drug abuse or (AOD) dependence who received the following. Two rates are reported.

a. Percentage of patients who initiated treatment including either an intervention or medication for the treatment of AOD abuse or dependence within 14 days of the diagnosis.
b. Percentage of patients who engaged in ongoing treatment including two additional interventions or a medication for the treatment of AOD abuse or dependence within 34 days of the initiation visit. For patients who initiated treatment with a medication, at least one of the two engagement events must be a treatment intervention.","Numerator 1: Patients who initiated treatment within 14 days of the diagnosis
Numerator 2: Patients who initiated treatment and who had two or more additional services with an AOD diagnosis within 30 days of the initiation visit",Patients age 13 years of age and older who were diagnosed with a new episode of alcohol or drug dependency during a visit in the first 11 months of the measurement period,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,7,FALSE
2517,0005,NA,0321,NA,NA,CAHPS for MIPs Clinician/Group Survey,"The Consumer Assessment of Healthcare Providers and Systems (CAHPS) for MIPS Clinician/Group Survey is comprised of 10 Summary Survey Measures (SSMs) and measures patient experience of care within a group practice. The NQF endorsement status and endorsement id (if applicable) for each SSM utilized in this measure are as follows: 
 Getting Timely Care, Appointments, and Information; (Not endorsed by NQF)
 How well Providers Communicate; (Not endorsed by NQF)
 Patient s Rating of Provider; (NQF endorsed # 0005)
 Access to Specialists; (Not endorsed by NQF)
 Health Promotion and Education; (Not endorsed by NQF)
 Shared Decision-Making; (Not endorsed by NQF) 
 Health Status and Functional Status; (Not endorsed by NQF)
 Courteous and Helpful Office Staff; (NQF endorsed # 0005)
 Care Coordination; (Not endorsed by NQF)
 Stewardship of Patient Resources. (Not endorsed by NQF)","We recommend that CG-CAHPS Survey items and composites be calculated using a top box scoring method. The top box score refers to the percentage of patients whose responses indicated that they always received the desired care or service for a given measure. 

The top box numerator for the Overall Rating of Provider is the number of respondents who answered 9 or 10 for the item, with 10 indicating Best provider possible . 

For more information on the calculation of reporting measures, see Robert Wood Johnson Foundation s How to Report Results of the CAHPS Clinician & Group Survey, available at https://www.ahrq.gov/sites/default/files/wysiwyg/cahps/surveys-guidance/cg/cgkit/HowtoReportResultsofCGCAHPS080610FINAL.pdf 
and The CAHPS Clinician and Group Survey Database: How Results Are Calculated (AHRQ, 2017) accessible at
https://cahpsdatabase.ahrq.gov/cahpsidb/Public/Files/Doc6_How_Results_are_Calculated_CG_2016.pdf",The measure's denominator is the number of survey respondents. The target populations for the surveys are patients who have had at least one visit to the selected provider in the target 6-month time frame. This time frame is also known as the look back period. The sampling frame is a person-level list and not a visit-level list.,Person and Caregiver-Centered Experience and Outcomes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,9,FALSE
2519,0108,NA,NA,NA,NA,Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication (ADD-CH),"Percentage of children 6-12 years of age and newly dispensed a medication for attention-deficit/hyperactivity disorder (ADHD) who had appropriate follow-up care. Two rates are reported. 
a) Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.
b) Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended.","Numerator 1: Patients who had at least one face-to-face visit with a practitioner with prescribing authority within 30 days after the IPSD.
Numerator 2: Patients who had at least one face-to-face visit with a practitioner with prescribing authority during the Initiation Phase, and at least two follow-up visits during the Continuation and Maintenance Phase. One of the two visits during the Continuation and Maintenance Phase may be a telephone visit with a practitioner.","Initial Population 1: Children 6-12 years of age who were dispensed an ADHD medication during the Intake Period and who had a visit during the measurement period.
Initial Population 2: Children 6-12 years of age who were dispensed an ADHD medication during the Intake Period and who remained on the medication for at least 210 days out of the 300 days following the IPSD, and who had a visit during the measurement period.",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,8,FALSE
2535,1365,CMS177v8,0382,NA,NA,Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment (eCQM),Percentage of patient visits for those patients aged 6 through 17 years with a diagnosis of major depressive disorder with an assessment for suicide risk,Patient visits with an assessment for suicide risk,All patient visits for those patients aged 6 through 17 years with a diagnosis of major depressive disorder,Patient Safety,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,6,TRUE
2542,NA,NA,NA,NA,NA,Opioid Therapy Follow-up Evaluation,All patients 18 and older prescribed opiates for longer than six weeks duration who had a follow-up evaluation conducted at least every three months during Opioid Therapy documented in the medical record.,Patients who had a follow-up evaluation conducted at least every three months during opioid therapy,All patients 18 and older prescribed opiates for longer than six weeks duration,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,FALSE
2546,NA,NA,NA,NA,NA,Documentation of Signed Opioid Treatment Agreement,All patients 18 and older prescribed opiates for longer than six weeks duration who signed an opioid treatment agreement at least once during Opioid Therapy documented in the medical record.,Patients who signed an opioid treatment agreement at least once during opioid therapy,All patients 18 and older prescribed opiates for longer than six weeks duration,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,FALSE
2548,NA,NA,NA,NA,NA,Evaluation or Interview for Risk of Opioid Misuse,"All patients 18 and older prescribed opiates for longer than six weeks duration evaluated for risk of opioid misuse using a brief validated instrument (e.g. Opioid Risk Tool, Screener and Opioid Assessment for Patients with Pain, revised (SOAPP-R)) or patient interview documented at least once during Opioid Therapy in the medical record.","Patients evaluated for risk of misuse of opiates by using a brief validated instrument (e.g., Opioid Risk Tool, Opioid Assessment for Patients with Pain, revised (SOAPP-R)) or patient interview at least once during opioid therapy",All patients 18 and older prescribed opiates for longer than six weeks duration,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,FALSE
2564,NA,NA,NA,NA,NA,Prevention of Post-Operative Nausea and Vomiting (PONV) - Combination Therapy,"Percentage of patients, aged 18 years and older, who undergo a procedure under an inhalational general anesthetic, AND who have three or more risk factors for post-operative nausea and vomiting (PONV), who receive combination therapy consisting of at least two prophylactic pharmacologic antiemetic agents of different classes preoperatively and/or intraoperatively",Patients who receive combination therapy consisting of at least two prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively,"All patients, aged 18 years and older, who undergo any procedure including surgical, therapeutic or diagnostic under an inhalational general anesthetic, AND who have three or more risk factors for PONV",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,FALSE
